"","State.Territory","Week_Ending_Date","Data_Collection_Period","State.Territory_WVAL","National_WVAL","Regional_WVAL","WVAL_Category","Coverage"
"1","Alabama","2023-05-06","All Results",1.20300298799229,1.39188095655484,1.26256125420286,"Very Low",""
"2","Alabama","2023-01-14","All Results",3.37374976379167,5.17891482535716,4.40294496253006,"Low",""
"3","Alabama","2022-11-19","All Results",20.3043266503872,12.5194534664293,13.9499261076331,"Very High",""
"4","Alabama","2024-06-29","All Results",1.71390919009312,1.42929983343653,1.2339928120102,"Low",""
"5","Alabama","2024-11-02","1 Year",2.79199831694372,1.15979631700497,1.25876640602727,"Low",""
"6","Alabama","2023-12-16","All Results",11.72907641356,7.24948852534086,9.1849614463155,"Moderate",""
"7","Alabama","2022-12-24","All Results",6.34692144442318,17.0376740105173,8.64663933248189,"Moderate",""
"8","Alabama","2023-08-12","All Results",1.73977242278217,1.40598840387037,1.50358244473007,"Low",""
"9","Alabama","2024-05-04","1 Year",3.3221648433853,2.45754953806397,1.84075903484558,"Low",""
"10","Alabama","2023-05-13","All Results",1.39084396112732,1.3974222144624,1.3836024107472,"Very Low",""
"11","Alabama","2025-02-08","6 Months",28.776778253218,19.2549941639292,16.6628879437244,"Very High",""
"12","Alabama","2022-08-13","All Results",1.36718383273189,1.36111996869581,1.18573712040295,"Very Low","Limited Coverage"
"13","Alabama","2024-09-21","1 Year",1.29177987870853,1.16584862745419,1.29594910507667,"Very Low",""
"14","Alabama","2025-03-15","45 Days",9.79247461259732,5.30536693054263,4.711813961119,"Moderate",""
"15","Alabama","2025-02-15","1 Year",12.8476786254235,17.0488112259438,12.8925455633008,"High",""
"16","Alabama","2024-11-09","All Results",3.24386901407458,1.31712051403566,1.39234630856106,"Low",""
"17","Alabama","2024-01-27","All Results",12.1176629501876,8.32378959190988,8.46211836595374,"Moderate",""
"18","Alabama","2024-06-22","All Results",2.69006066175064,1.34465587412946,1.27402658600809,"Low",""
"19","Alabama","2024-12-07","6 Months",7.71423030218198,2.19652674319773,1.75531886951215,"Moderate",""
"20","Alabama","2022-11-12","All Results",19.9739881725622,8.12896322429689,14.6689680491885,"High",""
"21","Alabama","2022-12-03","All Results",16.2243301983007,23.5665458553864,11.0651243624658,"High",""
"22","Alabama","2023-09-02","All Results",1.38439025390456,1.3447779039514,1.42286388266709,"Very Low",""
"23","Alabama","2025-03-01","1 Year",12.5655974190439,11.1189850838549,9.06623696003287,"High",""
"24","Alabama","2024-11-30","6 Months",6.45300541756334,1.52174593817539,1.13803742568582,"Moderate",""
"25","Alabama","2023-07-22","All Results",1.39181204099657,1.36018687752725,1.40585634013837,"Very Low",""
"26","Alabama","2024-04-06","All Results",2.59277210484163,3.70374030300032,3.31070462409909,"Low",""
"27","Alabama","2024-11-02","All Results",2.79199831694372,1.15979631700497,1.25876640602727,"Low",""
"28","Alabama","2025-03-15","All Results",9.79247461259732,5.30536693054263,4.711813961119,"Moderate",""
"29","Alabama","2024-02-10","All Results",13.1944539372204,7.44932522463829,6.91630858285222,"High",""
"30","Alabama","2022-09-10","All Results",1.38930489925446,1.24964304283774,1.57921092142082,"Very Low",""
"31","Alabama","2025-02-08","All Results",28.776778253218,19.2549941639292,16.6628879437244,"Very High",""
"32","Alabama","2024-06-08","All Results",2.10083027371745,1.67278752426067,1.28353858472424,"Low",""
"33","Alabama","2023-11-18","All Results",4.57642255121461,2.04067888093034,4.24927616721638,"Moderate",""
"34","Alabama","2025-01-11","1 Year",17.9049200048353,10.7488780683158,10.5746047961178,"High",""
"35","Alabama","2023-10-28","All Results",2.21477514273488,1.48201155984462,1.89041276465093,"Low",""
"36","Alabama","2023-07-08","All Results",1.23027026150357,1.30992486294431,1.28895896563754,"Very Low",""
"37","Alabama","2022-10-22","All Results",10.0507975332982,1.59880315226412,10.0507975332982,"Moderate",""
"38","Alabama","2024-08-24","All Results",1.70073805042463,1.2470072905104,1.22046954343301,"Low",""
"39","Alabama","2024-08-03","1 Year",1.46121540238726,1.25833801995808,1.25969477705071,"Very Low",""
"40","Alabama","2025-02-15","6 Months",12.8476786254235,17.0488112259438,12.8925455633008,"High",""
"41","Alabama","2025-01-04","6 Months",21.5646886983894,11.1411243157903,9.79996606361903,"Very High",""
"42","Alabama","2024-09-28","All Results",1.59397537160847,1.24429889703197,1.34353800196614,"Very Low",""
