State/Territory,Week_Ending_Date,Data_Collection_Period,State/Territory_WVAL,National_WVAL,Regional_WVAL,WVAL_Category,Coverage
Alabama,5/6/2023,All Results,1.16360603,1.34546366,1.264374033,Minimal,
Alabama,1/14/2023,All Results,6.484698345,7.826710774,5.120656555,Low,
Alabama,11/2/2024,1 Year,3.253555433,1.260595524,1.912315604,Minimal,
Alabama,6/29/2024,All Results,1.250864443,1.283688257,1.240933688,Minimal,
Alabama,11/19/2022,All Results,8.453843242,12.27824303,10.79668991,Moderate,
Alabama,12/16/2023,All Results,14.97095312,11.75329853,12.94965248,High,
Alabama,5/4/2024,1 Year,1.394467589,1.46921103,1.300526198,Minimal,
Alabama,8/12/2023,All Results,1.789849322,1.453764064,1.507149035,Minimal,
Alabama,12/24/2022,All Results,4.381332054,10.31183541,9.198673685,Low,
Alabama,5/13/2023,All Results,1.378149544,1.476047381,1.501819203,Minimal,
Alabama,9/21/2024,1 Year,1.711573726,1.136892106,1.375059068,Minimal,
Alabama,1/25/2025,45 Days,11.75598418,8.410056222,9.319922615,Moderate,
Alabama,8/13/2022,All Results,1.383822694,1.474208609,1.932665338,Minimal,Limited Coverage
Alabama,6/22/2024,All Results,1.462855297,1.226811809,1.267636165,Minimal,
Alabama,1/27/2024,All Results,5.503749799,7.415900794,5.319016258,Low,
Alabama,11/9/2024,All Results,6.623900813,1.505537457,2.526186629,Low,
Alabama,12/7/2024,6 Months,16.05967125,4.07726314,7.810416556,High,
Alabama,11/12/2022,All Results,6.237661629,10.83082248,8.98146973,Low,
Alabama,12/3/2022,All Results,6.648286627,13.38809294,7.985403708,Low,
Alabama,9/2/2023,All Results,1.387209386,1.401020208,1.385497019,Minimal,
Alabama,11/30/2024,6 Months,14.80333009,2.465017247,4.984613151,High,
Alabama,7/22/2023,All Results,1.389908728,1.471332152,1.546582373,Minimal,
Alabama,11/2/2024,All Results,3.253555433,1.260595524,1.912315604,Minimal,
Alabama,4/6/2024,All Results,1.464319207,2.199135747,1.610830545,Minimal,
Alabama,1/27/2024,1 Year,5.503749799,7.415900794,5.319016258,Low,
Alabama,9/10/2022,All Results,6.743334516,1.764363938,4.832771288,Low,
Alabama,2/10/2024,All Results,2.925569177,6.307025296,3.608735175,Minimal,
Alabama,6/8/2024,All Results,1.19849732,1.35325598,1.263036948,Minimal,
Alabama,1/11/2025,1 Year,12.52442081,10.08301231,15.68285271,High,
Alabama,11/18/2023,All Results,12.64753157,7.607362278,10.41455264,High,
Alabama,10/28/2023,All Results,6.945579156,2.498974326,4.383761416,Low,
Alabama,7/8/2023,All Results,1.240417485,1.339868249,1.316944847,Minimal,
Alabama,8/3/2024,1 Year,1.368115098,1.218954668,1.312073876,Minimal,
Alabama,10/22/2022,All Results,6.807051606,6.614310016,7.799009002,Low,
Alabama,8/24/2024,All Results,1.727476266,1.269539894,1.372880737,Minimal,
Alabama,1/4/2025,6 Months,22.34802894,10.03425259,15.4760468,Very High,
Alabama,9/28/2024,All Results,1.506819921,1.215121123,1.523947352,Minimal,
Alabama,9/21/2024,6 Months,1.711573726,1.136892106,1.375059068,Minimal,
Alabama,12/7/2024,1 Year,16.05967125,4.07726314,7.810416556,High,
Alabama,10/26/2024,1 Year,2.452116312,1.157666147,1.481779966,Minimal,
Alabama,7/6/2024,1 Year,1.455823312,1.221474285,1.261183666,Minimal,
Alabama,7/1/2023,All Results,1.259252976,1.34841252,1.317909957,Minimal,
Alabama,8/17/2024,1 Year,1.933549344,1.215384356,1.414686732,Minimal,
Alabama,4/20/2024,All Results,1.969792043,1.574160592,1.411989285,Minimal,
Alabama,9/9/2023,All Results,2.053030532,1.532486284,1.821332148,Minimal,
Alabama,4/13/2024,1 Year,1.835410766,1.913184421,1.668108735,Minimal,
Alabama,9/28/2024,1 Year,1.506819921,1.215121123,1.523947352,Minimal,
Alabama,9/21/2024,All Results,1.711573726,1.136892106,1.375059068,Minimal,
Alabama,4/20/2024,1 Year,1.969792043,1.574160592,1.411989285,Minimal,
Alabama,12/14/2024,6 Months,18.11791475,5.472206273,11.46671637,High,
Alabama,12/21/2024,6 Months,20.31368528,6.597140991,10.0459876,Very High,
Alabama,11/25/2023,All Results,16.31398681,8.356403298,11.20337056,High,
Alabama,11/23/2024,All Results,10.89403671,2.321732905,3.42005101,Moderate,
Alabama,12/30/2023,All Results,15.7770925,13.18569684,12.35012717,High,
Alabama,5/11/2024,1 Year,1.384582438,1.46649405,1.305852352,Minimal,
Alabama,12/21/2024,1 Year,20.31368528,6.597140991,10.0459876,Very High,
Alabama,1/25/2025,6 Months,11.75598418,8.410056222,9.319922615,Moderate,
Alabama,10/29/2022,All Results,6.176594481,8.168657257,9.546389994,Low,
Alabama,9/3/2022,All Results,7.319803933,1.972766043,5.654500874,Low,
Alabama,2/17/2024,1 Year,2.681236423,5.556611227,3.855612425,Minimal,
Alabama,6/10/2023,All Results,1.451159333,1.459469894,1.459469894,Minimal,
Alabama,11/2/2024,6 Months,3.253555433,1.260595524,1.912315604,Minimal,
Alabama,7/15/2023,All Results,1.234004334,1.458776375,1.435566158,Minimal,
Alabama,4/6/2024,1 Year,1.464319207,2.199135747,1.610830545,Minimal,
Alabama,6/15/2024,All Results,1.503135696,1.259788613,1.28119729,Minimal,
Alabama,10/19/2024,All Results,3.32951017,1.254449455,1.863846032,Minimal,
Alabama,2/24/2024,1 Year,3.204006592,4.796281787,3.271515146,Minimal,
Alabama,10/14/2023,All Results,6.648519707,1.692075458,2.84697644,Low,
Alabama,7/20/2024,All Results,1.644162701,1.254157163,1.266265959,Minimal,
Alabama,10/12/2024,All Results,1.432962077,1.1482105,1.491346929,Minimal,
Alabama,3/30/2024,1 Year,1.559666285,2.337129667,1.617463094,Minimal,
Alabama,3/30/2024,All Results,1.559666285,2.337129667,1.617463094,Minimal,
Alabama,2/17/2024,All Results,2.681236423,5.556611227,3.855612425,Minimal,
Alabama,7/27/2024,All Results,1.399830199,1.245212192,1.42032401,Minimal,
Alabama,11/5/2022,All Results,6.03413437,9.007387778,9.9880802,Low,
Alabama,3/16/2024,1 Year,1.894355547,3.212429211,2.067293737,Minimal,
Alabama,12/21/2024,45 Days,20.31368528,6.597140991,10.0459876,Very High,
Alabama,4/1/2023,All Results,1.511529566,2.185112722,1.366542311,Minimal,
Alabama,1/7/2023,All Results,7.892253,8.485501828,7.0428374,Low,
Alabama,7/27/2024,1 Year,1.399830199,1.245212192,1.42032401,Minimal,
Alabama,2/24/2024,All Results,3.204006592,4.796281787,3.271515146,Minimal,
Alabama,11/23/2024,1 Year,10.89403671,2.321732905,3.42005101,Moderate,
Alabama,5/25/2024,All Results,1.289771338,1.359411049,1.406873308,Minimal,
Alabama,9/23/2023,All Results,2.052708253,1.637968571,1.894051591,Minimal,
Alabama,10/5/2024,6 Months,1.457603242,1.263411201,1.653918119,Minimal,
Alabama,2/4/2023,All Results,2.713688614,4.556415555,3.040879835,Minimal,
Alabama,1/6/2024,All Results,10.888774,14.53445698,12.52971654,Moderate,
Alabama,10/19/2024,1 Year,3.32951017,1.254449455,1.863846032,Minimal,
Alabama,1/13/2024,All Results,5.748541028,11.50486882,8.205543935,Low,
Alabama,12/28/2024,1 Year,16.01884021,6.40425026,12.9157796,High,
Alabama,10/7/2023,All Results,3.716567018,1.80711458,2.684137603,Minimal,
Alabama,8/31/2024,1 Year,1.548444826,1.23632566,1.335848246,Minimal,
Alabama,12/21/2024,All Results,20.31368528,6.597140991,10.0459876,Very High,
Alabama,3/2/2024,1 Year,4.575678965,4.18098609,2.778414191,Low,
Alabama,11/30/2024,All Results,14.80333009,2.465017247,4.984613151,High,
Alabama,5/20/2023,All Results,1.271042784,1.457232859,1.55562697,Minimal,
Alabama,4/22/2023,All Results,1.37661723,1.500029705,1.275234991,Minimal,
Alabama,10/26/2024,6 Months,2.452116312,1.157666147,1.481779966,Minimal,
Alabama,7/20/2024,1 Year,1.644162701,1.254157163,1.266265959,Minimal,
Alabama,11/4/2023,All Results,10.17255915,3.587764254,6.229944157,Moderate,
Alabama,2/3/2024,1 Year,8.387490177,6.868404881,5.566944153,Moderate,
Alabama,11/23/2024,6 Months,10.89403671,2.321732905,3.42005101,Moderate,
Alabama,6/1/2024,1 Year,1.39367705,1.301903931,1.267024748,Minimal,
Alabama,6/24/2023,All Results,1.423327861,1.349720852,1.404612238,Minimal,
Alabama,10/15/2022,All Results,6.488116719,6.332203993,8.237845697,Low,
Alabama,2/25/2023,All Results,2.741895339,3.661807408,2.741895339,Minimal,
Alabama,10/5/2024,1 Year,1.457603242,1.263411201,1.653918119,Minimal,
Alabama,9/30/2023,All Results,4.685482504,2.018461383,2.709114709,Low,
Alabama,12/14/2024,All Results,18.11791475,5.472206273,11.46671637,High,
Alabama,11/9/2024,6 Months,6.623900813,1.505537457,2.526186629,Low,
Alabama,8/17/2024,All Results,1.933549344,1.215384356,1.414686732,Minimal,
Alabama,9/7/2024,All Results,1.781001942,1.203404589,1.420889726,Minimal,
Alabama,6/1/2024,All Results,1.39367705,1.301903931,1.267024748,Minimal,
Alabama,6/8/2024,1 Year,1.19849732,1.35325598,1.263036948,Minimal,
Alabama,1/18/2025,All Results,8.367222318,8.870003394,12.78608732,Moderate,
Alabama,1/20/2024,All Results,7.408211539,8.555605875,6.264428251,Low,
Alabama,11/16/2024,All Results,9.649424642,1.91663426,2.672973939,Moderate,
Alabama,9/7/2024,6 Months,1.781001942,1.203404589,1.420889726,Minimal,
Alabama,6/17/2023,All Results,1.160448914,1.343360995,1.478948722,Minimal,
Alabama,6/22/2024,1 Year,1.462855297,1.226811809,1.267636165,Minimal,
Alabama,10/19/2024,6 Months,3.32951017,1.254449455,1.863846032,Minimal,
Alabama,8/10/2024,1 Year,1.436877805,1.269186096,1.329255538,Minimal,
Alabama,8/20/2022,All Results,6.826868664,1.91357854,3.936656629,Low,
Alabama,12/2/2023,All Results,15.78148189,11.02997146,13.34770372,High,
Alabama,4/15/2023,All Results,1.30573792,1.776348266,1.578026625,Minimal,
Alabama,4/29/2023,All Results,1.247418477,1.347887368,1.214423599,Minimal,
Alabama,1/4/2025,All Results,22.34802894,10.03425259,15.4760468,Very High,
Alabama,8/17/2024,6 Months,1.933549344,1.215384356,1.414686732,Minimal,
Alabama,7/13/2024,1 Year,1.297863627,1.2601647,1.279214178,Minimal,
Alabama,10/1/2022,All Results,6.730005539,3.06491869,7.21846747,Low,
Alabama,8/24/2024,6 Months,1.727476266,1.269539894,1.372880737,Minimal,
Alabama,11/26/2022,All Results,6.56152736,11.57252357,11.0851765,Low,
Alabama,8/10/2024,6 Months,1.436877805,1.269186096,1.329255538,Minimal,
Alabama,8/31/2024,6 Months,1.548444826,1.23632566,1.335848246,Minimal,
Alabama,12/10/2022,All Results,7.393545856,11.83463095,9.807490068,Low,
Alabama,9/24/2022,All Results,6.210449788,3.537481678,5.881918586,Low,
Alabama,3/11/2023,All Results,1.55452542,3.034928148,1.758205505,Minimal,
Alabama,8/5/2023,All Results,1.504296546,1.35356087,1.326095827,Minimal,
Alabama,1/18/2025,45 Days,8.367222318,8.870003394,12.78608732,Moderate,
Alabama,1/25/2025,1 Year,11.75598418,8.410056222,9.319922615,Moderate,
Alabama,3/4/2023,All Results,2.407986318,3.218515966,2.073648279,Minimal,
Alabama,4/8/2023,All Results,1.580555199,2.033186444,1.580075418,Minimal,
Alabama,2/10/2024,1 Year,2.925569177,6.307025296,3.608735175,Minimal,
Alabama,11/16/2024,1 Year,9.649424642,1.91663426,2.672973939,Moderate,
Alabama,5/18/2024,1 Year,1.679875092,1.404929217,1.324626492,Minimal,
Alabama,10/26/2024,All Results,2.452116312,1.157666147,1.481779966,Minimal,
Alabama,3/18/2023,All Results,1.304015015,2.570391042,1.386803702,Minimal,
Alabama,1/18/2025,1 Year,8.367222318,8.870003394,12.78608732,Moderate,
Alabama,1/4/2025,45 Days,22.34802894,10.03425259,15.4760468,Very High,
Alabama,5/11/2024,All Results,1.384582438,1.46649405,1.305852352,Minimal,
Alabama,12/17/2022,All Results,7.352940171,11.63728519,8.244896222,Low,
Alabama,5/27/2023,All Results,1.36214471,1.379052949,1.61120533,Minimal,
Alabama,8/10/2024,All Results,1.436877805,1.269186096,1.329255538,Minimal,
Alabama,7/6/2024,All Results,1.455823312,1.221474285,1.261183666,Minimal,
Alabama,2/18/2023,All Results,2.874804072,4.567111247,2.913386857,Minimal,
Alabama,1/25/2025,All Results,11.75598418,8.410056222,9.319922615,Moderate,
Alabama,9/16/2023,All Results,1.965663332,1.539365445,1.681693662,Minimal,
Alabama,4/27/2024,1 Year,1.526890667,1.455112007,1.338648977,Minimal,
Alabama,11/9/2024,1 Year,6.623900813,1.505537457,2.526186629,Low,
Alabama,5/25/2024,1 Year,1.289771338,1.359411049,1.406873308,Minimal,
Alabama,9/14/2024,All Results,1.542885865,1.184422229,1.364764976,Minimal,
Alabama,9/7/2024,1 Year,1.781001942,1.203404589,1.420889726,Minimal,
Alabama,3/9/2024,All Results,3.570093947,3.747594887,2.159924201,Minimal,
