End Date of MMWR Week,COVID-19,Age Group,Influenza,RSV,Combined
9/3/2022,71917,All Ages,3549,4800,80266
9/3/2022,4751,00-01 Years,277,2709,7737
9/3/2022,2175,02-04 Years,478,1297,3950
9/3/2022,3921,05-11 Years,770,391,5082
9/3/2022,4436,12-17 Years,397,35,4868
9/3/2022,35957,18-64 Years,1279,231,37467
9/3/2022,20677,65+ Years,348,137,21162
9/10/2022,63344,All Ages,4119,6067,73530
9/10/2022,4146,00-01 Years,357,3412,7915
9/10/2022,1725,02-04 Years,587,1638,3950
9/10/2022,2628,05-11 Years,892,548,4068
9/10/2022,3119,12-17 Years,448,46,3613
9/10/2022,31969,18-64 Years,1472,271,33712
9/10/2022,19757,65+ Years,363,152,20272
9/17/2022,52770,All Ages,4817,7537,65124
9/17/2022,3188,00-01 Years,379,4138,7705
9/17/2022,1396,02-04 Years,707,2059,4162
9/17/2022,2128,05-11 Years,1193,728,4049
9/17/2022,2288,12-17 Years,616,58,2962
9/17/2022,26469,18-64 Years,1545,358,28372
9/17/2022,17301,65+ Years,377,196,17874
9/24/2022,45765,All Ages,7084,9955,62804
9/24/2022,2669,00-01 Years,563,5368,8600
9/24/2022,1060,02-04 Years,997,2815,4872
9/24/2022,1534,05-11 Years,2031,1048,4613
9/24/2022,1793,12-17 Years,1081,62,2936
9/24/2022,22456,18-64 Years,1939,434,24829
9/24/2022,16253,65+ Years,473,228,16954
10/1/2022,40418,All Ages,9958,12137,62513
10/1/2022,2257,00-01 Years,730,6554,9541
10/1/2022,911,02-04 Years,1359,3372,5642
10/1/2022,1127,05-11 Years,2892,1338,5357
10/1/2022,1239,12-17 Years,1629,77,2945
10/1/2022,19471,18-64 Years,2760,536,22767
10/1/2022,15413,65+ Years,588,260,16261
10/8/2022,37342,All Ages,14414,13373,65129
10/8/2022,1984,00-01 Years,1029,7669,10682
10/8/2022,768,02-04 Years,1907,3516,6191
10/8/2022,902,05-11 Years,4159,1272,6333
10/8/2022,1026,12-17 Years,2243,70,3339
10/8/2022,17725,18-64 Years,4254,511,22490
10/8/2022,14937,65+ Years,822,335,16094
10/15/2022,37030,All Ages,19451,16666,73147
10/15/2022,1999,00-01 Years,1389,9439,12827
10/15/2022,780,02-04 Years,2498,4413,7691
10/15/2022,864,05-11 Years,5416,1544,7824
10/15/2022,880,12-17 Years,2971,90,3941
10/15/2022,17579,18-64 Years,5989,727,24295
10/15/2022,14928,65+ Years,1188,453,16569
10/22/2022,36709,All Ages,28009,19170,83888
10/22/2022,2069,00-01 Years,1868,10827,14764
10/22/2022,726,02-04 Years,3296,4933,8955
10/22/2022,872,05-11 Years,7864,1778,10514
10/22/2022,811,12-17 Years,4446,132,5389
10/22/2022,17303,18-64 Years,8828,884,27015
10/22/2022,14928,65+ Years,1707,616,17251
10/29/2022,39211,All Ages,56211,23723,119145
10/29/2022,2392,00-01 Years,3313,13039,18744
10/29/2022,849,02-04 Years,6423,6197,13469
10/29/2022,1083,05-11 Years,16529,2413,20025
