week_end,pathogen,geography,percent_visits
10/7/2023,COVID-19,Alabama,1.2
10/7/2023,COVID-19,Alaska,1.5
10/7/2023,COVID-19,Arizona,2.2
10/7/2023,COVID-19,Arkansas,1.2
10/7/2023,COVID-19,California,1.3
10/7/2023,COVID-19,Colorado,2
10/7/2023,COVID-19,Connecticut,2
10/7/2023,COVID-19,Delaware,1.5
10/7/2023,COVID-19,District of Columbia,1.2
10/7/2023,COVID-19,Florida,1.2
10/7/2023,COVID-19,Georgia,0.7
10/7/2023,COVID-19,Hawaii,2.3
10/7/2023,COVID-19,Idaho,2.4
10/7/2023,COVID-19,Illinois,1.3
10/7/2023,COVID-19,Indiana,1.1
10/7/2023,COVID-19,Iowa,1.9
10/7/2023,COVID-19,Kansas,1.1
10/7/2023,COVID-19,Kentucky,1.7
10/7/2023,COVID-19,Louisiana,1.1
10/7/2023,COVID-19,Maine,2
10/7/2023,COVID-19,Maryland,1.6
10/7/2023,COVID-19,Massachusetts,2.1
10/7/2023,COVID-19,Michigan,1.5
10/7/2023,COVID-19,Minnesota,1.6
10/7/2023,COVID-19,Mississippi,1.2
10/7/2023,COVID-19,Montana,2.8
10/7/2023,COVID-19,United States,1.5
10/7/2023,COVID-19,Nebraska,0.8
10/7/2023,COVID-19,Nevada,1.6
10/7/2023,COVID-19,New Hampshire,2
10/7/2023,COVID-19,New Jersey,1.5
10/7/2023,COVID-19,New Mexico,2.8
10/7/2023,COVID-19,New York,1.6
10/7/2023,COVID-19,North Carolina,2.1
10/7/2023,COVID-19,North Dakota,1.6
10/7/2023,COVID-19,Ohio,1.2
10/7/2023,COVID-19,Oklahoma,1
10/7/2023,COVID-19,Oregon,2.8
10/7/2023,COVID-19,Pennsylvania,1.4
10/7/2023,COVID-19,Rhode Island,1.7
10/7/2023,COVID-19,South Carolina,1.8
10/7/2023,COVID-19,Tennessee,1.1
10/7/2023,COVID-19,Texas,1.2
10/7/2023,COVID-19,Utah,1.9
10/7/2023,COVID-19,Vermont,2.2
10/7/2023,COVID-19,Virginia,1.6
10/7/2023,COVID-19,Washington,2.6
10/7/2023,COVID-19,West Virginia,2.2
10/7/2023,COVID-19,Wisconsin,1.4
10/7/2023,COVID-19,Wyoming,3.1
10/7/2023,Influenza,Alabama,0.5
10/7/2023,Influenza,Alaska,2.5
