"","state","week_end","percent_visits_rsv_state"
"1","Arizona",2022-10-01,0.21
"2","Arkansas",2022-10-01,1.12
"3","Connecticut",2022-10-01,0.2
"4","Delaware",2022-10-01,0.88
"5","District of Columbia",2022-10-01,1.28
"6","Maine",2022-10-01,0.21
"7","New Mexico",2022-10-01,0.18
"8","Pennsylvania",2022-10-01,0.33
"9","Rhode Island",2022-10-01,0.24
"10","Wisconsin",2022-10-01,0.16
"11","Colorado",2022-10-08,0.2
"12","Connecticut",2022-10-08,0.33
"13","District of Columbia",2022-10-08,1.64
"14","Florida",2022-10-08,0.47
"15","Hawaii",2022-10-08,1.07
"16","Illinois",2022-10-08,1.18
"17","Iowa",2022-10-08,0.46
"18","Montana",2022-10-08,0.13
"19","Nevada",2022-10-08,0.28
"20","New Jersey",2022-10-08,0.35
"21","New York",2022-10-08,0.21
"22","Oregon",2022-10-08,0.06
"23","Pennsylvania",2022-10-08,0.49
"24","Vermont",2022-10-08,0.61
"25","Wyoming",2022-10-08,0.06
"26","Alaska",2022-10-15,0.38
"27","Connecticut",2022-10-15,0.42
"28","Delaware",2022-10-15,2.02
"29","District of Columbia",2022-10-15,1.78
"30","Georgia",2022-10-15,0.4
"31","Illinois",2022-10-15,1.59
"32","Montana",2022-10-15,0.12
"33","Nevada",2022-10-15,0.39
"34","Ohio",2022-10-15,0.52
"35","Pennsylvania",2022-10-15,0.73
"36","United States",2022-10-15,0.73
"37","Utah",2022-10-15,0.26
"38","Arkansas",2022-10-22,0.96
"39","California",2022-10-22,0.59
"40","Delaware",2022-10-22,2.37
"41","Indiana",2022-10-22,1.65
"42","Kansas",2022-10-22,0.76
"43","Kentucky",2022-10-22,1.39
"44","Massachusetts",2022-10-22,1.37
"45","Michigan",2022-10-22,0.91
"46","New Hampshire",2022-10-22,0.65
"47","New Mexico",2022-10-22,0.83
"48","North Carolina",2022-10-22,1.37
"49","Rhode Island",2022-10-22,0.7
"50","Arkansas",2022-10-29,1.24
"51","California",2022-10-29,0.81
"52","Georgia",2022-10-29,0.25
"53","Hawaii",2022-10-29,0.94
"54","Iowa",2022-10-29,1.16
"55","Kentucky",2022-10-29,1.66
"56","Louisiana",2022-10-29,0.59
"57","Massachusetts",2022-10-29,2.03
"58","Michigan",2022-10-29,1.37
"59","New Hampshire",2022-10-29,1.11
"60","North Carolina",2022-10-29,1.43
"61","Oklahoma",2022-10-29,1.05
"62","Texas",2022-10-29,1.08
"63","Virginia",2022-10-29,1.11
"64","West Virginia",2022-10-29,2.79
"65","Wyoming",2022-10-29,0.54
"66","Alaska",2022-11-05,1.75
"67","District of Columbia",2022-11-05,2
"68","Idaho",2022-11-05,0.96
"69","Iowa",2022-11-05,1.62
"70","Kansas",2022-11-05,1.59
"71","Kentucky",2022-11-05,1.7
"72","Michigan",2022-11-05,1.95
"73","Minnesota",2022-11-05,1.86
"74","Nebraska",2022-11-05,1.71
"75","North Carolina",2022-11-05,1.3
"76","Ohio",2022-11-05,1.23
"77","Pennsylvania",2022-11-05,1.51
"78","South Dakota",2022-11-05,0.83
"79","Vermont",2022-11-05,1.86
"80","Wisconsin",2022-11-05,1.32
"81","Arizona",2022-11-12,1.31
"82","Connecticut",2022-11-12,0.84
"83","Florida",2022-11-12,0.49
"84","Georgia",2022-11-12,0.19
"85","Minnesota",2022-11-12,1.98
"86","Mississippi",2022-11-12,0.26
"87","Montana",2022-11-12,0.66
"88","Nevada",2022-11-12,1.53
"89","North Carolina",2022-11-12,1.2
"90","South Dakota",2022-11-12,1.32
"91","Utah",2022-11-12,1.99
"92","Alabama",2022-11-19,0.31
"93","Arkansas",2022-11-19,0.58
"94","Delaware",2022-11-19,1.2
"95","Hawaii",2022-11-19,0.51
"96","Illinois",2022-11-19,1.36
"97","Louisiana",2022-11-19,0.49
"98","Maryland",2022-11-19,1.47
"99","Michigan",2022-11-19,2.11
"100","Nebraska",2022-11-19,1.54
"101","New Mexico",2022-11-19,3.51
"102","New York",2022-11-19,1.01
"103","Pennsylvania",2022-11-19,1.15
"104","Rhode Island",2022-11-19,0.98
"105","South Carolina",2022-11-19,0.46
"106","Tennessee",2022-11-19,0.54
"107","Utah",2022-11-19,2.46
"108","Alaska",2022-11-26,2.8
"109","Hawaii",2022-11-26,0.13
"110","Idaho",2022-11-26,2.74
"111","Indiana",2022-11-26,0.98
"112","Kansas",2022-11-26,1.42
"113","North Carolina",2022-11-26,0.74
"114","Oregon",2022-11-26,1.96
"115","Tennessee",2022-11-26,0.47
"116","Virginia",2022-11-26,0.52
"117","Washington",2022-11-26,2.37
"118","Wisconsin",2022-11-26,1.53
"119","Arkansas",2022-12-03,0.47
"120","California",2022-12-03,0.96
"121","Hawaii",2022-12-03,0.22
"122","Kentucky",2022-12-03,0.73
"123","Montana",2022-12-03,1.23
"124","Nevada",2022-12-03,1.47
"125","New York",2022-12-03,0.55
"126","Oklahoma",2022-12-03,0.72
"127","South Dakota",2022-12-03,1.38
"128","West Virginia",2022-12-03,1.18
"129","Alabama",2022-12-10,0.21
"130","Alaska",2022-12-10,1.99
"131","Arizona",2022-12-10,1.03
"132","District of Columbia",2022-12-10,0.61
"133","Florida",2022-12-10,0.27
"134","Georgia",2022-12-10,0.15
"135","Illinois",2022-12-10,0.61
"136","Iowa",2022-12-10,1.62
"137","Nebraska",2022-12-10,0.91
"138","Nevada",2022-12-10,1.13
"139","New Jersey",2022-12-10,0.45
"140","New Mexico",2022-12-10,1.77
"141","New York",2022-12-10,0.42
"142","Ohio",2022-12-10,0.55
"143","Oklahoma",2022-12-10,0.55
"144","Oregon",2022-12-10,1.58
"145","Utah",2022-12-10,3.3
"146","Vermont",2022-12-10,1.58
"147","Idaho",2022-12-17,2.2
"148","New Jersey",2022-12-17,0.36
"149","New York",2022-12-17,0.3
"150","Pennsylvania",2022-12-17,0.35
"151","South Dakota",2022-12-17,1.38
"152","Tennessee",2022-12-17,0.28
"153","Texas",2022-12-17,0.5
"154","Virginia",2022-12-17,0.37
"155","Alaska",2022-12-24,1.53
"156","California",2022-12-24,0.65
"157","Colorado",2022-12-24,0.93
"158","Delaware",2022-12-24,0.36
"159","Kansas",2022-12-24,0.8
"160","Massachusetts",2022-12-24,0.41
"161","Minnesota",2022-12-24,1.34
"162","Mississippi",2022-12-24,0.14
"163","Montana",2022-12-24,2.11
"164","Nebraska",2022-12-24,0.54
"165","Oklahoma",2022-12-24,0.45
"166","Oregon",2022-12-24,1.23
"167","Pennsylvania",2022-12-24,0.28
"168","South Carolina",2022-12-24,0.22
"169","Vermont",2022-12-24,1.34
"170","Wisconsin",2022-12-24,0.55
"171","Connecticut",2022-12-31,0.13
"172","District of Columbia",2022-12-31,0.5
"173","Iowa",2022-12-31,0.7
"174","Kansas",2022-12-31,0.64
"175","Louisiana",2022-12-31,0.19
"176","Mississippi",2022-12-31,0.13
"177","New York",2022-12-31,0.2
"178","Ohio",2022-12-31,0.25
"179","Tennessee",2022-12-31,0.31
"180","Vermont",2022-12-31,1.06
"181","Washington",2022-12-31,1.01
"182","Connecticut",2023-01-07,0.12
"183","Florida",2023-01-07,0.22
"184","Kansas",2023-01-07,0.49
"185","Kentucky",2023-01-07,0.36
"186","Massachusetts",2023-01-07,0.27
"187","North Dakota",2023-01-07,1.32
"188","Oregon",2023-01-07,0.99
"189","Pennsylvania",2023-01-07,0.21
"190","Vermont",2023-01-07,1.02
"191","West Virginia",2023-01-07,0.36
"192","Wisconsin",2023-01-07,0.37
"193","Alaska",2023-01-14,1.02
"194","Arkansas",2023-01-14,0.15
"195","California",2023-01-14,0.32
"196","Idaho",2023-01-14,0.73
"197","Kentucky",2023-01-14,0.26
"198","Massachusetts",2023-01-14,0.22
"199","New York",2023-01-14,0.12
"200","South Carolina",2023-01-14,0.1
"201","South Dakota",2023-01-14,0.6
"202","Texas",2023-01-14,0.22
"203","Wyoming",2023-01-14,0.63
"204","Alaska",2023-01-21,1.11
"205","California",2023-01-21,0.25
"206","Colorado",2023-01-21,0.35
"207","District of Columbia",2023-01-21,0.27
"208","Florida",2023-01-21,0.14
"209","Idaho",2023-01-21,0.49
"210","Indiana",2023-01-21,0.16
"211","Kansas",2023-01-21,0.27
"212","Louisiana",2023-01-21,0.12
"213","Maine",2023-01-21,0.23
"214","Minnesota",2023-01-21,0.56
"215","Nevada",2023-01-21,0.31
"216","New Hampshire",2023-01-21,0.14
"217","New Jersey",2023-01-21,0.13
"218","North Carolina",2023-01-21,0.13
"219","Vermont",2023-01-21,0.62
"220","West Virginia",2023-01-21,0.21
"221","Wisconsin",2023-01-21,0.19
"222","Arizona",2023-01-28,0.23
"223","California",2023-01-28,0.18
"224","Connecticut",2023-01-28,0.04
"225","Idaho",2023-01-28,0.52
"226","Iowa",2023-01-28,0.38
"227","Kentucky",2023-01-28,0.17
"228","Nevada",2023-01-28,0.23
"229","New Mexico",2023-01-28,0.33
"230","Texas",2023-01-28,0.14
"231","Washington",2023-01-28,0.28
"232","Wyoming",2023-01-28,0.39
"233","Alabama",2023-02-04,0.09
"234","Colorado",2023-02-04,0.26
"235","District of Columbia",2023-02-04,0.07
"236","Illinois",2023-02-04,0.12
"237","Iowa",2023-02-04,0.26
"238","Kansas",2023-02-04,0.15
"239","Minnesota",2023-02-04,0.38
"240","Nebraska",2023-02-04,0.14
"241","New Hampshire",2023-02-04,0.18
"242","New Jersey",2023-02-04,0.11
"243","Ohio",2023-02-04,0.06
"244","South Carolina",2023-02-04,0.05
"245","Vermont",2023-02-04,0.38
"246","Alaska",2023-02-11,0.72
"247","Arkansas",2023-02-11,0.07
"248","Kentucky",2023-02-11,0.15
"249","New Hampshire",2023-02-11,0.09
"250","Oklahoma",2023-02-11,0.16
"251","Utah",2023-02-11,0.18
"252","West Virginia",2023-02-11,0.18
"253","Wisconsin",2023-02-11,0.09
"254","Arkansas",2023-02-18,0.1
"255","Idaho",2023-02-18,0.26
"256","Kentucky",2023-02-18,0.13
"257","Maine",2023-02-18,0.07
"258","North Dakota",2023-02-18,0.31
"259","Pennsylvania",2023-02-18,0.06
"260","South Carolina",2023-02-18,0.03
"261","Tennessee",2023-02-18,0.1
"262","Utah",2023-02-18,0.2
"263","California",2023-02-25,0.09
"264","Colorado",2023-02-25,0.15
"265","Connecticut",2023-02-25,0.04
"266","Delaware",2023-02-25,0.07
"267","Indiana",2023-02-25,0.04
"268","Iowa",2023-02-25,0.17
"269","Kentucky",2023-02-25,0.09
"270","Michigan",2023-02-25,0.05
"271","New Hampshire",2023-02-25,0.09
"272","New Jersey",2023-02-25,0.07
"273","New Mexico",2023-02-25,0.1
"274","New York",2023-02-25,0.05
"275","North Carolina",2023-02-25,0.06
"276","North Dakota",2023-02-25,0.18
"277","Oregon",2023-02-25,0.2
"278","Vermont",2023-02-25,0.3
"279","West Virginia",2023-02-25,0.08
"280","Alaska",2023-03-04,0.3
"281","Georgia",2023-03-04,0.05
"282","Maryland",2023-03-04,0.05
"283","Minnesota",2023-03-04,0.11
"284","Mississippi",2023-03-04,0.07
"285","North Carolina",2023-03-04,0.06
"286","Oregon",2023-03-04,0.13
"287","Pennsylvania",2023-03-04,0.04
"288","Vermont",2023-03-04,0.22
"289","Washington",2023-03-04,0.11
"290","Wisconsin",2023-03-04,0.07
"291","Wyoming",2023-03-04,0.16
"292","Alabama",2023-03-11,0.05
"293","Alaska",2023-03-11,0.46
"294","Arkansas",2023-03-11,0.07
"295","California",2023-03-11,0.07
"296","Connecticut",2023-03-11,0.01
"297","Florida",2023-03-11,0.09
"298","Illinois",2023-03-11,0.06
"299","Louisiana",2023-03-11,0.04
"300","Massachusetts",2023-03-11,0.06
"301","Nevada",2023-03-11,0.04
"302","New Mexico",2023-03-11,0.1
"303","Oregon",2023-03-11,0.1
"304","South Dakota",2023-03-11,0.04
"305","Tennessee",2023-03-11,0.13
"306","Utah",2023-03-11,0.11
"307","Washington",2023-03-11,0.1
"308","Alaska",2023-03-18,0.31
"309","California",2023-03-18,0.06
"310","District of Columbia",2023-03-18,0.12
"311","Hawaii",2023-03-18,0.02
"312","Maryland",2023-03-18,0.04
"313","Nevada",2023-03-18,0.07
"314","North Carolina",2023-03-18,0.05
"315","Rhode Island",2023-03-18,0.02
"316","Tennessee",2023-03-18,0.1
"317","Texas",2023-03-18,0.09
"318","Utah",2023-03-18,0.11
"319","Vermont",2023-03-18,0.08
"320","Virginia",2023-03-18,0.05
"321","Washington",2023-03-18,0.07
"322","Wisconsin",2023-03-18,0.04
"323","Colorado",2023-03-25,0.05
"324","Kansas",2023-03-25,0.05
"325","Louisiana",2023-03-25,0.05
"326","Massachusetts",2023-03-25,0.05
"327","Michigan",2023-03-25,0.03
"328","New Hampshire",2023-03-25,0.04
"329","North Carolina",2023-03-25,0.04
"330","South Dakota",2023-03-25,0.06
"331","Vermont",2023-03-25,0.04
"332","Wyoming",2023-03-25,0.3
"333","Connecticut",2023-04-01,0.01
"334","Georgia",2023-04-01,0.03
"335","Iowa",2023-04-01,0.09
"336","Kansas",2023-04-01,0.04
"337","Nebraska",2023-04-01,0.03
"338","Nevada",2023-04-01,0.04
"339","New Hampshire",2023-04-01,0.09
"340","New Mexico",2023-04-01,0.04
"341","North Carolina",2023-04-01,0.03
"342","Ohio",2023-04-01,0.02
"343","South Carolina",2023-04-01,0.02
"344","Texas",2023-04-01,0.07
"345","United States",2023-04-01,0.04
"346","Utah",2023-04-01,0.04
"347","Washington",2023-04-01,0.06
"348","Colorado",2023-04-08,0.05
"349","Florida",2023-04-08,0.05
"350","Hawaii",2023-04-08,0.04
"351","Idaho",2023-04-08,0.02
"352","Iowa",2023-04-08,0.17
"353","Massachusetts",2023-04-08,0.05
"354","Michigan",2023-04-08,0.03
"355","New Jersey",2023-04-08,0.03
"356","New Mexico",2023-04-08,0.03
"357","South Dakota",2023-04-08,0.04
"358","Texas",2023-04-08,0.06
"359","United States",2023-04-08,0.04
"360","Vermont",2023-04-08,0
"361","Washington",2023-04-08,0.04
"362","Wyoming",2023-04-08,0.07
"363","Alaska",2023-04-15,0.24
"364","Arizona",2023-04-15,0.03
"365","Colorado",2023-04-15,0.03
"366","Connecticut",2023-04-15,0.01
"367","Delaware",2023-04-15,0.03
"368","Maine",2023-04-15,0
"369","Maryland",2023-04-15,0.02
"370","Nevada",2023-04-15,0.04
"371","North Dakota",2023-04-15,0.02
"372","Rhode Island",2023-04-15,0
"373","Tennessee",2023-04-15,0.07
"374","Virginia",2023-04-15,0.02
"375","Wyoming",2023-04-15,0
"376","Alabama",2023-04-22,0.03
"377","Arkansas",2023-04-22,0.03
"378","California",2023-04-22,0.02
"379","Delaware",2023-04-22,0.04
"380","District of Columbia",2023-04-22,0.06
"381","Georgia",2023-04-22,0.01
"382","Hawaii",2023-04-22,0.03
