"","st","year","N_IPD","N_IPD_pre","logRR"
"1","1",1998,87,73,0.173271721274037
"2","1",1999,59,73,-0.209720530982069
"3","1",2000,50,73,-0.372239460479844
"4","1",2001,44,73,-0.49740260343385
"5","1",2002,32,73,-0.80755753173769
"6","1",2003,40,73,-0.590493026499862
"7","1",2004,36,73,-0.693147180559945
"8","1",2005,52,73,-0.333773179652048
"9","1",2006,56,73,-0.26101382536962
"10","1",2007,42,73,-0.542864977510607
"11","1",2008,63,73,-0.145182009844498
"12","1",2009,45,73,-0.475423696715075
"13","1",2010,34,73,-0.748717031714756
"14","1",2011,10,73,-1.9061698204058
"15","1",2012,7,73,-2.22462355152433
"16","1",2013,4,73,-2.69462718077007
"17","1",2014,0,73,-4.30406509320417
"18","1",2015,0,73,-4.30406509320417
"19","1",2016,1,73,-3.61091791264422
"20","1",2017,0,73,-4.30406509320417
"21","1",2018,1,73,-3.61091791264422
"22","1",2019,1,73,-3.61091791264422
"23","1",2020,0,73,-4.30406509320417
"24","1",2021,0,73,-4.30406509320417
"25","1",2022,1,73,-3.61091791264422
"26","10A",1998,27,21.5,0.21868920096483
"27","10A",1999,16,21.5,-0.280301965154158
"28","10A",2000,21,21.5,-0.0224728558520586
"29","10A",2001,22,21.5,0.0219789067187752
"30","10A",2002,26,21.5,0.182321556793955
"31","10A",2003,29,21.5,0.287682072451781
"32","10A",2004,26,21.5,0.182321556793955
"33","10A",2005,44,21.5,0.693147180559945
"34","10A",2006,49,21.5,0.798507696217772
"35","10A",2007,54,21.5,0.893817876022097
"36","10A",2008,48,21.5,0.778304988900252
"37","10A",2009,55,21.5,0.911836381524775
"38","10A",2010,48,21.5,0.778304988900252
"39","10A",2011,40,21.5,0.600056757493933
"40","10A",2012,36,21.5,0.49740260343385
"41","10A",2013,64,21.5,1.06087196068526
"42","10A",2014,49,21.5,0.798507696217772
"43","10A",2015,52,21.5,0.856776604341747
"44","10A",2016,45,21.5,0.71512608727872
"45","10A",2017,60,21.5,0.997358554962937
"46","10A",2018,50,21.5,0.818310323513951
"47","10A",2019,55,21.5,0.911836381524775
"48","10A",2020,30,21.5,0.320471895274772
"49","10A",2021,24,21.5,0.105360515657826
"50","10A",2022,35,21.5,0.470003629245736
"51","11A",1998,59,59,0
"52","11A",1999,59,59,0
"53","11A",2000,59,59,0
"54","11A",2001,71,59,0.182321556793955
"55","11A",2002,105,59,0.569094531889966
"56","11A",2003,116,59,0.667829372575655
"57","11A",2004,99,59,0.510825623765991
"58","11A",2005,101,59,0.53062825106217
"59","11A",2006,107,59,0.587786664902119
"60","11A",2007,89,59,0.405465108108164
"61","11A",2008,82,59,0.324496045574497
"62","11A",2009,87,59,0.382992252256106
"63","11A",2010,86,59,0.371563556432483
"64","11A",2011,99,59,0.510825623765991
"65","11A",2012,104,59,0.559615787935423
"66","11A",2013,114,59,0.650587566141149
"67","11A",2014,111,59,0.624154309072994
"68","11A",2015,91,59,0.42744401482694
"69","11A",2016,87,59,0.382992252256106
"70","11A",2017,127,59,0.757685701697516
"71","11A",2018,107,59,0.587786664902119
"72","11A",2019,99,59,0.510825623765991
"73","11A",2020,69,59,0.154150679827258
"74","11A",2021,44,59,-0.287682072451781
"75","11A",2022,74,59,0.22314355131421
"76","12F",1998,139,157.5,-0.124112170708031
"77","12F",1999,176,157.5,0.110395139256494
"78","12F",2000,149,157.5,-0.0551192992210796
"79","12F",2001,173,157.5,0.0933007058971938
"80","12F",2002,131,157.5,-0.182952670730964
"81","12F",2003,154,157.5,-0.0223294763980887
"82","12F",2004,138,157.5,-0.131280660186644
"83","12F",2005,186,157.5,0.165354023537251
"84","12F",2006,161,157.5,0.0218417419150489
"85","12F",2007,142,157.5,-0.102909963057428
"86","12F",2008,93,157.5,-0.522459811047331
"87","12F",2009,74,157.5,-0.748266479781025
"88","12F",2010,93,157.5,-0.522459811047331
