"","state","date","percent_visits_rsv","rsv_ww","hosp_rate","age","N_epic","search_volume","search_volume_vax","month","season","rsv_novax","rsv_novax2","percent_visits_rsv_3m","rsv_ww_3m","hosp_rate_3m","N_epic_3m","google_3m_a","google_3m_b","google_3m_c","MMWRyear","MMWRweek","epiyr","epiwk"
"1","Alabama",2023-07-01,0.02,1.259252976,NA,"Total",NA,443.2,0,7,1,443.2,443.2,NA,NA,NA,NA,NA,NA,NA,2023,26,2022,52
"2","Alabama",2023-07-08,0.02,1.240417485,NA,"Total",NA,260.04,0,7,1,260.04,260.04,NA,NA,NA,NA,NA,NA,NA,2023,27,2023,1
"3","Alabama",2023-07-15,0.04,1.234004334,NA,"Total",NA,318.36,0,7,1,318.36,318.36,1.65631469979296,6.36271219872999,NA,NA,7.98053923322454,8.888919825702,12.2490388832886,2023,28,2023,2
"4","Alabama",2023-07-22,0.04,1.389908728,NA,"Total",NA,380.29,0,7,1,380.29,380.29,2.0703933747412,6.58536815907177,NA,NA,7.48909862715352,8.34154125656054,11.4947446035826,2023,29,2023,3
"5","Alabama",2023-07-29,0.01,1.44297711,NA,"Total",NA,225.09,0,7,1,225.09,225.09,1.86335403726708,6.9305585325568,NA,NA,7.21607606822517,8.03744205148195,11.0756922259681,2023,30,2023,4
"6","Alabama",2023-08-05,0.04,1.504296546,NA,"Total",NA,610.42,148.26,8,1,462.16,207.1528,1.86335403726708,7.39117485533274,NA,NA,9.49759162074628,9.28864278654063,9.74231192359765,2023,31,2023,5
"7","Alabama",2023-08-12,0.05,1.789849322,NA,"Total",NA,752.15,212.98,8,1,539.17,172.8444,2.0703933747412,8.07273043687907,NA,NA,12.4024891533098,10.6710542801854,7.25502803502371,2023,32,2023,6
"8","Alabama",2023-08-19,0.06,2.694947604,NA,"Total",NA,921.26,251.97,8,1,669.29,235.9016,3.1055900621118,10.2062659942049,NA,NA,17.8408329258175,14.5360290125433,7.38465969985394,2023,33,2023,7
"9","Alabama",2023-08-26,0.07,1.881078309,NA,"Total",NA,1038.58,270.93,8,1,767.65,301.6504,3.72670807453416,10.8483556381422,NA,NA,21.1855350382857,17.1940909913547,8.51769100053665,2023,34,2023,8
"10","Alabama",2023-09-02,0.1,1.387209386,NA,"Total",12,1032.83,352.11,9,1,680.72,75.0907999999998,4.76190476190476,10.1621999944011,NA,NA,23.3781522583145,18.4257145243697,7.34562008493226,2023,35,2023,9
"11","Alabama",2023-09-09,0.1,2.053030532,NA,"Total",NA,1200.08,325.49,9,1,874.59,314.7472,5.59006211180124,9.06828212290972,NA,NA,25.5562395224175,20.2120254486225,8.29098306474454,2023,36,2023,10
"12","Alabama",2023-09-16,0.13,1.965663332,NA,"Total",19,1278.98,507.91,9,1,771.07,0,6.83229813664596,9.21242701694085,NA,NA,27.4341972668059,20.2417827957289,4.67417856321795,2023,37,2023,11
"13","Alabama",2023-09-23,0.2,2.052708253,NA,"Total",18,1706.99,419.67,9,1,1287.32,565.4876,8.90269151138716,10.346531616777,NA,NA,32.7006032275251,25.5197964667066,10.5540625407437,2023,38,2023,12
"14","Alabama",2023-09-30,0.35,4.685482504,NA,"Total",21,1720.06,443.85,9,1,1276.21,512.788,14.0786749482402,14.832603702446,NA,9.47712418300654,36.762585207255,29.0142835266111,12.9285823720647,2023,39,2023,13
"15","Alabama",2023-10-07,0.45,3.716567018,NA,"Total",39,1564.52,374.75,10,1,1189.77,545.2,20.703933747412,17.8163922896664,NA,12.7450980392157,38.9931677959932,32.6573833024739,19.4655596617759,2023,40,2023,14
"16","Alabama",2023-10-14,0.65,6.648519707,NA,"Total",56,1811.24,421.99,10,1,1389.25,663.4272,30.0207039337474,25.6483078171216,NA,18.9542483660131,39.8075483902215,33.5442740599463,20.6398607273728,2023,41,2023,15
"17","Alabama",2023-10-21,0.78,6.760876116,NA,"Total",99,1959.28,453.41,10,1,1505.87,726.0048,38.9233954451346,29.1850733302623,NA,31.6993464052288,41.6762882055817,35.542540824992,23.1963416139922,2023,42,2023,16
"18","Alabama",2023-10-28,0.87,6.945579156,NA,"Total",121,3000.22,550.9,10,1,2449.32,1501.772,47.6190476190476,34.6877686768986,NA,45.0980392156863,52.8916955833621,46.5018585290473,34.6656912837897,2023,43,2023,17
"19","Alabama",2023-11-04,1.1,10.17255915,NA,"Total",123,3035.63,461.29,11,0,2574.34,1462.6311,56.935817805383,40.6932324582674,NA,56.0457516339869,62.4563906027119,56.813301360137,44.2481889803205,2023,44,2023,18
